2025-06-23 23:36:05.679455 - System Idle Process, PID: 0, User: NT AUTHORITY\SYSTEM
2025-06-23 23:36:06.144297 - WmiPrvSE.exe, PID: 4732, User: None
2025-06-23 23:36:06.144675 - TextInputHost.exe, PID: 4848, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.150572 - svchost.exe, PID: 4900, User: None
2025-06-23 23:36:06.156812 - WmiPrvSE.exe, PID: 4984, User: None
2025-06-23 23:36:06.164471 - unsecapp.exe, PID: 4988, User: None
2025-06-23 23:36:06.164870 - FileCoAuth.exe, PID: 5032, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.165103 - RuntimeBroker.exe, PID: 5052, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.171259 - svchost.exe, PID: 5072, User: None
2025-06-23 23:36:06.171711 - msedge.exe, PID: 5088, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.171943 - msedgewebview2.exe, PID: 5092, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.178327 - svchost.exe, PID: 5220, User: None
2025-06-23 23:36:06.184347 - svchost.exe, PID: 5260, User: None
2025-06-23 23:36:06.190808 - svchost.exe, PID: 5268, User: None
2025-06-23 23:36:06.197148 - svchost.exe, PID: 5276, User: None
2025-06-23 23:36:06.197633 - F1EUI.exe, PID: 5284, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.204711 - svchost.exe, PID: 5352, User: None
2025-06-23 23:36:06.210238 - MemCompression, PID: 5360, User: None
2025-06-23 23:36:06.215602 - kvoop.exe, PID: 5600, User: None
2025-06-23 23:36:06.221179 - svchost.exe, PID: 5640, User: None
2025-06-23 23:36:06.227750 - kvoop.exe, PID: 5652, User: None
2025-06-23 23:36:06.234420 - svchost.exe, PID: 5668, User: None
2025-06-23 23:36:06.240299 - DgService.exe, PID: 5820, User: None
2025-06-23 23:36:06.245720 - svchost.exe, PID: 5828, User: None
2025-06-23 23:36:06.251181 - PulseSecureService.exe, PID: 5836, User: None
2025-06-23 23:36:06.256422 - svchost.exe, PID: 5852, User: None
2025-06-23 23:36:06.261519 - svchost.exe, PID: 5884, User: None
2025-06-23 23:36:06.267463 - svchost.exe, PID: 5908, User: None
2025-06-23 23:36:06.273496 - svchost.exe, PID: 5964, User: None
2025-06-23 23:36:06.278752 - svchost.exe, PID: 6044, User: None
2025-06-23 23:36:06.284129 - DgAgent.exe, PID: 6060, User: None
2025-06-23 23:36:06.284483 - msedgewebview2.exe, PID: 6116, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.284705 - conhost.exe, PID: 6140, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.289989 - fppsvc.exe, PID: 6212, User: None
2025-06-23 23:36:06.295094 - conhost.exe, PID: 6260, User: None
2025-06-23 23:36:06.300751 - spoolsv.exe, PID: 6292, User: None
2025-06-23 23:36:06.310844 - svchost.exe, PID: 6372, User: None
2025-06-23 23:36:06.319245 - ftscanmgrhv.exe, PID: 6388, User: None
2025-06-23 23:36:06.319641 - SECOCL64.exe, PID: 6448, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.325093 - svchost.exe, PID: 6452, User: None
2025-06-23 23:36:06.330724 - SenseTVM.exe, PID: 6624, User: None
2025-06-23 23:36:06.337568 - wlanext.exe, PID: 6628, User: None
2025-06-23 23:36:06.337980 - wsl.exe, PID: 6636, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.343595 - conhost.exe, PID: 6652, User: None
2025-06-23 23:36:06.343985 - svchost.exe, PID: 6816, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.344230 - chrome.exe, PID: 6820, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.352757 - PulseSecureService.exe, PID: 6828, User: None
2025-06-23 23:36:06.359255 - AI_IT_Detective.exe, PID: 6856, User: None
2025-06-23 23:36:06.365537 - HFB_ComplianceCheck.exe, PID: 6864, User: None
2025-06-23 23:36:06.371324 - DefendpointService.exe, PID: 6872, User: None
2025-06-23 23:36:06.376638 - WmiPrvSE.exe, PID: 6904, User: None
2025-06-23 23:36:06.382736 - BitlockerEnablementToolService.exe, PID: 6932, User: None
2025-06-23 23:36:06.388110 - horizon_client_service.exe, PID: 7012, User: None
2025-06-23 23:36:06.393456 - OfficeClickToRun.exe, PID: 7020, User: None
2025-06-23 23:36:06.399363 - svchost.exe, PID: 7076, User: None
2025-06-23 23:36:06.404764 - svchost.exe, PID: 7084, User: None
2025-06-23 23:36:06.410655 - esif_uf.exe, PID: 7092, User: None
2025-06-23 23:36:06.416221 - FwSwitchService.exe, PID: 7108, User: None
2025-06-23 23:36:06.416661 - msedge.exe, PID: 7128, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.421991 - FMService64.exe, PID: 7148, User: None
2025-06-23 23:36:06.427584 - wepsvc.exe, PID: 7160, User: None
2025-06-23 23:36:06.433103 - AggregatorHost.exe, PID: 7260, User: None
2025-06-23 23:36:06.438494 - DgAdmin.exe, PID: 7272, User: None
2025-06-23 23:36:06.444045 - HotKeyServiceUWP.exe, PID: 7292, User: None
2025-06-23 23:36:06.449598 - Avecto.IC3.Client.Host.exe, PID: 7300, User: None
2025-06-23 23:36:06.455043 - OneApp.IGCC.WinService.exe, PID: 7332, User: None
2025-06-23 23:36:06.460631 - svchost.exe, PID: 7340, User: None
2025-06-23 23:36:06.466135 - IntelAudioService.exe, PID: 7360, User: None
2025-06-23 23:36:06.471498 - svchost.exe, PID: 7412, User: None
2025-06-23 23:36:06.478124 - jhi_service.exe, PID: 7420, User: None
2025-06-23 23:36:06.484138 - MpDefenderCoreService.exe, PID: 7460, User: None
2025-06-23 23:36:06.490296 - svchost.exe, PID: 7520, User: None
2025-06-23 23:36:06.490689 - msedgewebview2.exe, PID: 7560, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.496435 - MicrosoftSearchInBing.exe, PID: 7564, User: None
2025-06-23 23:36:06.501988 - RstMwService.exe, PID: 7632, User: None
2025-06-23 23:36:06.507863 - RtkAudUService64.exe, PID: 7664, User: None
2025-06-23 23:36:06.513654 - SECOMN64.exe, PID: 7680, User: None
2025-06-23 23:36:06.519179 - MsSense.exe, PID: 7716, User: None
2025-06-23 23:36:06.525001 - SmaartService.exe, PID: 7768, User: None
2025-06-23 23:36:06.530653 - TaniumClient.exe, PID: 7776, User: None
2025-06-23 23:36:06.536268 - svchost.exe, PID: 7788, User: None
2025-06-23 23:36:06.541871 - TaniumDriverSvc.exe, PID: 7796, User: None
2025-06-23 23:36:06.547384 - svchost.exe, PID: 7804, User: None
2025-06-23 23:36:06.553143 - svchost.exe, PID: 7820, User: None
2025-06-23 23:36:06.558722 - MsMpEng.exe, PID: 7844, User: None
2025-06-23 23:36:06.564256 - vmware-authd.exe, PID: 7880, User: None
2025-06-23 23:36:06.570342 - vmnetdhcp.exe, PID: 7932, User: None
2025-06-23 23:36:06.576224 - vmware-usbarbitrator64.exe, PID: 7940, User: None
2025-06-23 23:36:06.581735 - vmnat.exe, PID: 8068, User: None
2025-06-23 23:36:06.587296 - vmwetlm.exe, PID: 8132, User: None
2025-06-23 23:36:06.592705 - vmwsprrdpwks.exe, PID: 8140, User: None
2025-06-23 23:36:06.598125 - dllhost.exe, PID: 8368, User: None
2025-06-23 23:36:06.607962 - PanGPS.exe, PID: 8824, User: None
2025-06-23 23:36:06.613396 - TaniumDriverSvc.exe, PID: 8840, User: None
2025-06-23 23:36:06.613790 - msedgewebview2.exe, PID: 8880, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.619389 - LanWlanWwanSwitchingServiceUWP.exe, PID: 8928, User: None
2025-06-23 23:36:06.619743 - conhost.exe, PID: 9268, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.619962 - UserOOBEBroker.exe, PID: 9324, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.625441 - SearchIndexer.exe, PID: 9460, User: None
2025-06-23 23:36:06.631091 - svchost.exe, PID: 9484, User: None
2025-06-23 23:36:06.631482 - Code.exe, PID: 9676, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.637981 - svchost.exe, PID: 9712, User: None
2025-06-23 23:36:06.638339 - msedgewebview2.exe, PID: 9888, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.644539 - svchost.exe, PID: 9920, User: None
2025-06-23 23:36:06.651610 - svchost.exe, PID: 10048, User: None
2025-06-23 23:36:06.651965 - Code.exe, PID: 10180, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.652195 - Accenture START.exe, PID: 10264, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.652427 - DgPrompt.exe, PID: 10380, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.652619 - smartscreen.exe, PID: 10480, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.652818 - Pulse.exe, PID: 10536, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.658554 - RtkAudUService64.exe, PID: 10580, User: None
2025-06-23 23:36:06.664716 - nxteufb.exe, PID: 10724, User: None
2025-06-23 23:36:06.665133 - ms-teams.exe, PID: 10732, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.665377 - vmware-tray.exe, PID: 10796, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.665610 - chrome.exe, PID: 10804, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.665817 - msedgewebview2.exe, PID: 11092, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.671611 - conhost.exe, PID: 11224, User: None
2025-06-23 23:36:06.671966 - svchost.exe, PID: 11268, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.672262 - TSUI.exe, PID: 11348, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.678533 - nxtcod.exe, PID: 11580, User: None
2025-06-23 23:36:06.678989 - cmd.exe, PID: 11644, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.679302 - dllhost.exe, PID: 11648, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.679580 - chrome.exe, PID: 11740, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.685848 - TaniumCX.exe, PID: 11748, User: None
2025-06-23 23:36:06.686265 - msedgewebview2.exe, PID: 11764, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.686525 - svchost.exe, PID: 11784, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.686757 - chrome.exe, PID: 11888, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.692842 - Microsoft.Management.Services.IntuneWindowsAgent.exe, PID: 11900, User: None
2025-06-23 23:36:06.700111 - nxtbsm.exe, PID: 11936, User: None
2025-06-23 23:36:06.707318 - svchost.exe, PID: 11992, User: None
2025-06-23 23:36:06.707711 - msedge.exe, PID: 12336, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.708060 - SystemSettingsBroker.exe, PID: 12368, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.716782 - DgWip.exe, PID: 12436, User: None
2025-06-23 23:36:06.717253 - conhost.exe, PID: 12596, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.717577 - conhost.exe, PID: 12636, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.717850 - msedgewebview2.exe, PID: 12660, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.718149 - CodeSetup-stable-18e3a1ec544e6907be1e944a94c496e302073435.exe, PID: 12704, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.724088 - kvoop.exe, PID: 12776, User: None
2025-06-23 23:36:06.724424 - svchost.exe, PID: 12824, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.730249 - conhost.exe, PID: 13012, User: None
2025-06-23 23:36:06.730632 - dllhost.exe, PID: 13092, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.730890 - OneDrive.exe, PID: 13116, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.736622 - conhost.exe, PID: 13244, User: None
2025-06-23 23:36:06.736968 - chrome.exe, PID: 13360, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.737475 - nxthostapp.exe, PID: 13428, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.737696 - taskhostw.exe, PID: 13536, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.737890 - msedge.exe, PID: 13596, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.744100 - svchost.exe, PID: 13676, User: None
2025-06-23 23:36:06.750068 - vds.exe, PID: 13736, User: None
2025-06-23 23:36:06.750440 - RuntimeBroker.exe, PID: 13748, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.755936 - svchost.exe, PID: 13780, User: None
2025-06-23 23:36:06.761692 - svchost.exe, PID: 13988, User: None
2025-06-23 23:36:06.767334 - svchost.exe, PID: 13996, User: None
2025-06-23 23:36:06.767697 - Code.exe, PID: 14004, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.767896 - msedgewebview2.exe, PID: 14108, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.773406 - svchost.exe, PID: 14172, User: None
2025-06-23 23:36:06.773745 - chrome.exe, PID: 14268, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.779028 - kvoop.exe, PID: 14360, User: None
2025-06-23 23:36:06.784188 - kvoop.exe, PID: 14388, User: None
2025-06-23 23:36:06.789683 - kvoop.exe, PID: 14412, User: None
2025-06-23 23:36:06.795348 - kvoop.exe, PID: 14436, User: None
